stim_ending_t,visbility,soundvolume,Opening_text,Source.Name,m,sd,coefVar
3,0,1,Now focus on the Image,009_visual_demo1.csv,3.057797831,0.407051114,0.133119041
3,0,1,Now focus on the Image,010_visual_demo1.csv,2.59185692,0.471021284,0.181731206
3,0,1,Now focus on the Image,011_visual_demo1.csv,2.548052114,0.269556923,0.105789407
3,0,1,Now focus on the Image,012_visual_demo1.csv,2.182074339,0.476864818,0.218537384
3,0,1,Now focus on the Image,013_visual_demo1.csv,2.816458375,1.041598996,0.369825809
3,0,1,Now focus on the Image,014_visual_demo1.csv,2.501734298,0.549795386,0.219765699
3,0,1,Now focus on the Image,015_visual_demo1.csv,2.549360595,0.275606203,0.108107972
3,0,1,Now focus on the Image,016_visual_demo1.csv,1.990120571,0.729079999,0.366349662
3,0,1,Now focus on the Image,017_visual_demo1.csv,3.46644251,0.470019111,0.135591203
3,0,1,Now focus on the Image,019_visual_demo1.csv,3.048501331,0.849987192,0.278821329
3,0,1,Now focus on the Image,020_visual_demo1.csv,3.310466164,0.831733036,0.251243479
3,0,1,Now focus on the Image,021_visual_demo1.csv,2.36327874,0.671975096,0.284340177
3,0,1,Now focus on the Sound,001_visual_demo1.csv,3.523116739,0.95580171,0.271294363
3,0,1,Now focus on the Sound,002_visual_demo1.csv,2.85858904,0.508837175,0.178002913
3,0,1,Now focus on the Sound,003_visual_demo1.csv,2.841910431,0.509295091,0.179208706
3,0,1,Now focus on the Sound,003demo_visual_demo1.csv,2.354169498,0.543697569,0.230950902
3,0,1,Now focus on the Sound,004_visual_demo1.csv,2.737068767,0.317505477,0.11600201
3,0,1,Now focus on the Sound,005_visual_demo1.csv,2.887389406,0.720792491,0.249634666
3,0,1,Now focus on the Sound,006_visual_demo1.csv,2.269268494,0.471507634,0.207779571
3,0,1,Now focus on the Sound,007_visual_demo1.csv,2.628260946,0.548223094,0.208587772
3,0,1,Now focus on the Sound,008_visual_demo1.csv,2.916532546,0.737254749,0.252784681
3,0,1,Now focus on the Sound,009_visual_demo1.csv,3.742441017,0.602863489,0.161088307
3,0,1,Now focus on the Sound,010_visual_demo1.csv,3.043035815,0.444638843,0.146116861
3,0,1,Now focus on the Sound,011_visual_demo1.csv,2.41283738,0.341297691,0.141450764
3,0,1,Now focus on the Sound,012_visual_demo1.csv,2.491625415,0.601672381,0.241477863
3,0,1,Now focus on the Sound,013_visual_demo1.csv,3.178172462,0.533126254,0.167746169
3,0,1,Now focus on the Sound,014_visual_demo1.csv,2.878159282,0.794651588,0.276097155
3,0,1,Now focus on the Sound,015_visual_demo1.csv,2.719109879,0.302014738,0.111071178
3,0,1,Now focus on the Sound,016_visual_demo1.csv,3.080644025,1.420096655,0.460973953
3,0,1,Now focus on the Sound,017_visual_demo1.csv,2.35308315,0.897650275,0.381478349
3,0,1,Now focus on the Sound,019_visual_demo1.csv,2.853168874,0.89163046,0.312505323
